"colony_id","spp","species","year","area_cm2","competition_id","competition_number","competition_outliner_name","competition_taxon","competition_growthform","competition_length_cm","competition","competition_type","competition_outcome"
9,"AC","Acropora cytherea",2011,11113.9952580456,3268,17,"mariana","Acropora","Tabular",15.8257232,"certain","Overtop","won"
9,"AC","Acropora cytherea",2011,11113.9952580456,3254,3,"mariana","Acropora","Tabular",5.499719409,"certain","Digestion","mutual_digestion"
9,"AC","Acropora cytherea",2011,11113.9952580456,3260,9,"mariana","Acropora","Tabular",39.17147089,"certain","Overtop","won"
9,"AC","Acropora cytherea",2011,11113.9952580456,3259,8,"mariana","Acropora","Corymbose",16.05020154,"certain","Overtop","won"
9,"AC","Acropora cytherea",2011,11113.9952580456,3261,10,"mariana","Favid","Massive",5.948676096,"certain","Overtop","won"
9,"AC","Acropora cytherea",2011,11113.9952580456,3258,7,"mariana","Acropora","Corymbose",8.642416215,"certain","Overtop","won"
9,"AC","Acropora cytherea",2011,11113.9952580456,3264,13,"mariana","Isopora","Cuneiform",12.12183053,"uncertain","Other direct contact","standoff"
9,"AC","Acropora cytherea",2011,11113.9952580456,3262,11,"mariana","Pocilloporid","Corymbose",19.86633338,"uncertain","Digestion","lost"
9,"AC","Acropora cytherea",2011,11113.9952580456,3255,4,"mariana","Acropora","Tabular",3.47941432,"certain","Digestion","mutual_digestion"
9,"AC","Acropora cytherea",2011,11113.9952580456,3267,16,"mariana","Isopora","Cuneiform",7.63226367,"certain","Digestion","mutual_digestion"
9,"AC","Acropora cytherea",2012,6727.69703156109,98,10,"mariana","Acropora","Digitate",8.303055652,"certain","Digestion","lost"
9,"AC","Acropora cytherea",2012,6727.69703156109,99,11,"mariana","Montipora","Encrusting",20.4880594,"certain","Digestion","lost"
9,"AC","Acropora cytherea",2012,6727.69703156109,92,4,"mariana","Isopora","Cuneiform",4.852435121,"certain","Digestion","lost"
9,"AC","Acropora cytherea",2012,6727.69703156109,90,2,"mariana","Acropora","Tabular",17.46876644,"certain","Digestion","mutual_digestion"
9,"AC","Acropora cytherea",2012,6727.69703156109,93,5,"mariana","Isopora","Cuneiform",9.597038351,"certain","Digestion","lost"
9,"AC","Acropora cytherea",2012,6727.69703156109,91,3,"mariana","Isopora","Cuneiform",4.09761188,"uncertain","Other direct contact","standoff"
9,"AC","Acropora cytherea",2012,6727.69703156109,100,12,"mariana","Acropora","Digitate",4.852435121,"certain","Overtop","won"
9,"AC","Acropora cytherea",2012,6727.69703156109,96,8,"mariana","Acropora","Digitate",15.63562428,"uncertain","Digestion","lost"
9,"AC","Acropora cytherea",2012,6727.69703156109,89,1,"mariana","Acropora","Tabular",5.499426471,"certain","Overgrowth","won"
9,"AC","Acropora cytherea",2012,6727.69703156109,94,6,"mariana","Isopora","Cuneiform",2.264469723,"uncertain","Other direct contact","standoff"
9,"AC","Acropora cytherea",2012,6727.69703156109,95,7,"mariana","Isopora","Cuneiform",11.32234862,"uncertain","Overtop","won"
9,"AC","Acropora cytherea",2012,6727.69703156109,97,9,"mariana","Acropora","Digitate",5.930754037,"certain","Digestion","lost"
9,"AC","Acropora cytherea",2013,3328.20580085756,4489,2,"mariana","Favid","Massive",NA,"uncertain","Digestion","lost"
9,"AC","Acropora cytherea",2013,3328.20580085756,4488,1,"mariana","Favid","Massive",NA,"uncertain","Overtop","won"
9,"AC","Acropora cytherea",2013,3328.20580085756,4490,3,"mariana","Acropora","Tabular",NA,"uncertain","Other direct contact","standoff"
10,"AC","Acropora cytherea",2009,2395.27795877525,106,6,"mariana","Fleshy macroalga","Branching",16.16614563,"certain","Overtop","won"
10,"AC","Acropora cytherea",2009,2395.27795877525,105,5,"mariana","Soft coral","Cuneiform",8.413607393,"certain","Overtop","won"
10,"AC","Acropora cytherea",2009,2395.27795877525,104,4,"mariana","Soft coral","Encrusting",5.709233588,"certain","Overtop","won"
10,"AC","Acropora cytherea",2009,2395.27795877525,102,2,"mariana","Acropora","Tabular",16.04595124,"certain","Overtop","won"
10,"AC","Acropora cytherea",2009,2395.27795877525,101,1,"mariana","Soft coral","Encrusting",42.12813416,"certain","Overtop","won"
10,"AC","Acropora cytherea",2009,2395.27795877525,109,9,"mariana","Acropora","Digitate",17.54838113,"certain","Overtop","lost"
10,"AC","Acropora cytherea",2009,2395.27795877525,110,10,"mariana","Acropora","Digitate",18.38974187,"uncertain","Digestion","mutual_digestion"
10,"AC","Acropora cytherea",2009,2395.27795877525,103,3,"mariana","Soft coral","Encrusting",31.73131931,"certain","Overtop","won"
10,"AC","Acropora cytherea",2009,2395.27795877525,107,7,"mariana","Isopora","Cuneiform",10.93768961,"uncertain","Standoff","standoff"
