"colony_id","spp","species","year","area_cm2","area_cm2_next"
119,"AI","Acropora intermedia",2009,461.271344991389,698.027149502409
119,"AI","Acropora intermedia",2010,698.027149502409,1066.80615251705
119,"AI","Acropora intermedia",2011,1066.80615251705,741.878245616264
119,"AI","Acropora intermedia",2012,741.878245616264,611.019735229094
119,"AI","Acropora intermedia",2013,611.019735229094,215.285920561965
121,"AI","Acropora intermedia",2009,70.4998523146406,46.8138907459935
121,"AI","Acropora intermedia",2010,46.8138907459935,71.9890472601207
121,"AI","Acropora intermedia",2011,71.9890472601207,201.337385957563
121,"AI","Acropora intermedia",2012,201.337385957563,161.329264476863
122,"AI","Acropora intermedia",2009,316.129171690887,35.2922960580571
123,"AI","Acropora intermedia",2010,134.345483006329,33.7012780334986
124,"AI","Acropora intermedia",2010,113.261131805425,175.804854230329
124,"AI","Acropora intermedia",2011,175.804854230329,84.9290469673156
124,"AI","Acropora intermedia",2012,84.9290469673156,91.0000256160717
124,"AI","Acropora intermedia",2013,91.0000256160717,110.344219781841
125,"AI","Acropora intermedia",2010,28.2033968724641,149.932358076182
127,"AL","Acropora spathulata",2009,281.628397043352,313.724775974562
127,"AL","Acropora spathulata",2010,313.724775974562,324.853852456439
128,"AL","Acropora spathulata",2009,1447.65009683667,1754.69068065719
128,"AL","Acropora spathulata",2010,1754.69068065719,683.091734365496
129,"AL","Acropora spathulata",2009,186.16007168645,234.453006969313
129,"AL","Acropora spathulata",2010,234.453006969313,196.027176240026
130,"AL","Acropora spathulata",2009,382.583495585912,524.698884888701
130,"AL","Acropora spathulata",2010,524.698884888701,603.435508370781
130,"AL","Acropora spathulata",2011,603.435508370781,1013.01607724665
130,"AL","Acropora spathulata",2012,1013.01607724665,829.508437325317
130,"AL","Acropora spathulata",2013,829.508437325317,818.181557211815
132,"AL","Acropora spathulata",2009,44.8841647485704,56.2595699247501
132,"AL","Acropora spathulata",2010,56.2595699247501,44.8335174860688
133,"AL","Acropora spathulata",2009,442.626218998237,499.407317759888
133,"AL","Acropora spathulata",2010,499.407317759888,372.766591377407
133,"AL","Acropora spathulata",2011,372.766591377407,283.667729213365
133,"AL","Acropora spathulata",2012,283.667729213365,248.807421327831
133,"AL","Acropora spathulata",2013,248.807421327831,80.0413266142335
134,"AL","Acropora spathulata",2009,233.117835773376,304.760821337788
134,"AL","Acropora spathulata",2010,304.760821337788,350.604238149777
135,"AL","Acropora spathulata",2009,364.576718670956,479.726518273855
135,"AL","Acropora spathulata",2010,479.726518273855,750.603575937528
135,"AL","Acropora spathulata",2011,750.603575937528,681.621369964502
135,"AL","Acropora spathulata",2012,681.621369964502,832.774454476707
135,"AL","Acropora spathulata",2013,832.774454476707,882.022635612334
136,"AL","Acropora spathulata",2009,535.4042430774,590.748363330697
136,"AL","Acropora spathulata",2010,590.748363330697,967.195082510977
136,"AL","Acropora spathulata",2011,967.195082510977,960.240530189795
136,"AL","Acropora spathulata",2012,960.240530189795,1031.37803901288
136,"AL","Acropora spathulata",2013,1031.37803901288,1213.73507736212
137,"AL","Acropora spathulata",2009,368.790241776363,300.412366497544
137,"AL","Acropora spathulata",2010,300.412366497544,277.599647155951
138,"AL","Acropora spathulata",2009,137.230138290825,47.7869762191812
138,"AL","Acropora spathulata",2010,47.7869762191812,10.6883478964762
139,"AL","Acropora spathulata",2009,383.828049845511,568.606949730224
139,"AL","Acropora spathulata",2010,568.606949730224,813.557243253285
139,"AL","Acropora spathulata",2011,813.557243253285,1104.6423008018
139,"AL","Acropora spathulata",2012,1104.6423008018,751.119099651703
139,"AL","Acropora spathulata",2013,751.119099651703,55.7752056101596
140,"AL","Acropora spathulata",2009,1000.24083276497,920.589395630308
140,"AL","Acropora spathulata",2010,920.589395630308,875.857052900328
140,"AL","Acropora spathulata",2011,875.857052900328,874.988670930505
140,"AL","Acropora spathulata",2012,874.988670930505,619.235163418129
140,"AL","Acropora spathulata",2013,619.235163418129,445.000510319899
141,"AL","Acropora spathulata",2009,235.688702564142,292.25068700629
141,"AL","Acropora spathulata",2010,292.25068700629,313.493408092696
141,"AL","Acropora spathulata",2011,313.493408092696,205.467076983052
141,"AL","Acropora spathulata",2012,205.467076983052,144.549252847799
141,"AL","Acropora spathulata",2013,144.549252847799,62.1740031124627
142,"AL","Acropora spathulata",2009,361.062445429538,311.03320791668
142,"AL","Acropora spathulata",2010,311.03320791668,418.438756249826
142,"AL","Acropora spathulata",2011,418.438756249826,449.505415540014
142,"AL","Acropora spathulata",2012,449.505415540014,504.558614557014
142,"AL","Acropora spathulata",2013,504.558614557014,576.07485387155
143,"AL","Acropora spathulata",2009,131.264625578404,182.578948438554
144,"AL","Acropora spathulata",2009,387.756709626264,268.732260345676
145,"AL","Acropora spathulata",2009,307.336310674089,321.863983727645
145,"AL","Acropora spathulata",2010,321.863983727645,358.738382048647
145,"AL","Acropora spathulata",2011,358.738382048647,374.414748980772
145,"AL","Acropora spathulata",2012,374.414748980772,190.315904296332
146,"AL","Acropora spathulata",2009,227.943451601477,413.52095157025
146,"AL","Acropora spathulata",2010,413.52095157025,581.68931349941
146,"AL","Acropora spathulata",2011,581.68931349941,274.626053673303
147,"AL","Acropora spathulata",2009,344.923639776988,329.390491337514
147,"AL","Acropora spathulata",2010,329.390491337514,342.555183625225
147,"AL","Acropora spathulata",2011,342.555183625225,240.250626224005
147,"AL","Acropora spathulata",2012,240.250626224005,13.5598493363817
148,"AL","Acropora spathulata",2009,273.490170673787,330.605923841627
148,"AL","Acropora spathulata",2010,330.605923841627,362.982613251606
148,"AL","Acropora spathulata",2011,362.982613251606,389.919890394689
148,"AL","Acropora spathulata",2012,389.919890394689,385.811507107097
148,"AL","Acropora spathulata",2013,385.811507107097,449.464893775816
151,"AL","Acropora spathulata",2009,418.225127321614,434.581872030012
151,"AL","Acropora spathulata",2010,434.581872030012,403.820724441122
